,电影名,关系,宾语
787,穿越时空的少女,上映年份,2006年
788,黑天鹅,主演,米拉·库妮丝
789,黑天鹅,主演,娜塔莉·波特曼
790,黑天鹅,主演,文森特·卡索
791,黑天鹅,导演,达伦·阿伦诺夫斯基
792,黑天鹅,上映年份,2010年
793,勇敢的心,主演,杜若溪
794,勇敢的心,主演,张少华
795,勇敢的心,主演,于毅
796,勇敢的心,主演,杨志刚
797,勇敢的心,导演,郭靖宇
798,勇敢的心,导演,刘礴
799,勇敢的心,导演,柏杉
800,勇敢的心,上映年份,2014年
801,E.T.外星人,主演,亨利·托马斯
802,E.T.外星人,主演,德鲁·巴里摩尔
803,E.T.外星人,导演,史蒂文·斯皮尔伯格
804,E.T.外星人,上映年份,1982年
805,摩登时代,主演,查理·卓别林
806,摩登时代,导演,查理·卓别林
807,摩登时代,上映年份,1936年
808,致命魔术,主演,休·杰克曼
809,致命魔术,主演,斯嘉丽·约翰逊
810,致命魔术,主演,克里斯蒂安·贝尔
811,致命魔术,主演,丽贝卡·豪尔
812,致命魔术,主演,迈克尔·凯恩
813,致命魔术,导演,克里斯托弗·诺兰
814,致命魔术,上映年份,2006年
815,时空恋旅人,主演,玛格特·罗比
816,时空恋旅人,主演,比尔·奈伊
817,时空恋旅人,主演,汤姆·霍兰德尔
818,时空恋旅人,主演,多姆纳尔·格里森
819,时空恋旅人,主演,瑞秋·麦克亚当斯
820,时空恋旅人,导演,理查德·柯蒂斯
821,时空恋旅人,上映年份,2013年
822,末代皇帝,主演,彼德·奥图
823,末代皇帝,主演,尊龙
824,末代皇帝,主演,陈冲
825,末代皇帝,主演,邬君梅
826,末代皇帝,导演,贝纳尔多·贝托鲁奇
827,末代皇帝,上映年份,1987年
828,巴黎淘气帮,主演,迈克尔·加拉布鲁
829,巴黎淘气帮,主演,马克西姆·戈达尔
830,巴黎淘气帮,主演,瓦莱丽·勒梅西埃
831,巴黎淘气帮,主演,凯德·麦拉德
832,巴黎淘气帮,导演,劳伦·泰拉德
833,巴黎淘气帮,上映年份,2013年
834,恋恋笔记本,主演,瑞恩·高斯林
835,恋恋笔记本,主演,瑞秋·麦克亚当斯
836,恋恋笔记本,导演,尼克·卡萨维茨
837,恋恋笔记本,上映年份,2004年
838,爱·回家,主演,罗天宇
839,爱·回家,主演,郭少芸
840,爱·回家,主演,林漪娸
841,爱·回家,主演,黎诺懿
842,爱·回家,主演,徐荣
843,爱·回家,主演,刘丹
844,爱·回家,导演,徐遇安
845,爱·回家,上映年份,2016年
846,谍影重重,主演,马特·达蒙
847,谍影重重,主演,朱丽娅·斯蒂尔斯
848,谍影重重,主演,弗兰卡·波坦特
849,谍影重重,主演,克里斯·库柏
850,谍影重重,导演,道格·里曼
851,谍影重重,上映年份,2002年
852,心灵捕手,主演,马特·达蒙
853,心灵捕手,主演,罗宾·威廉姆斯
854,心灵捕手,导演,格斯·范·桑特
855,心灵捕手,上映年份,1997年
856,哈利·波特与魔法石,主演,理查德·哈里斯
857,哈利·波特与魔法石,主演,丹尼尔·雷德克里夫
858,哈利·波特与魔法石,主演,艾玛·沃特森
859,哈利·波特与魔法石,主演,鲁伯特·格林特
860,哈利·波特与魔法石,导演,克里斯·哥伦布
861,哈利·波特与魔法石,上映年份,2001年
862,傲慢与偏见,主演,唐纳德·萨瑟兰
863,傲慢与偏见,主演,凯拉·奈特利
864,傲慢与偏见,主演,马修·麦克费登
865,傲慢与偏见,导演,乔·怀特
866,傲慢与偏见,上映年份,2005年
867,黄金三镖客,主演,克林特·伊斯特伍德
868,黄金三镖客,主演,伊莱·沃勒克
869,黄金三镖客,主演,李·范·克里夫
870,黄金三镖客,导演,赛尔乔·莱昂内
871,黄金三镖客,上映年份,1966年
872,本杰明·巴顿奇事,主演,塔拉吉·P·汉森
873,本杰明·巴顿奇事,主演,布拉德·皮特
874,本杰明·巴顿奇事,主演,凯特·布兰切特
875,本杰明·巴顿奇事,导演,大卫·芬奇
876,本杰明·巴顿奇事,上映年份,2008年
877,勇闯夺命岛,主演,肖恩·康纳利
878,勇闯夺命岛,主演,尼古拉斯·凯奇
879,勇闯夺命岛,主演,艾德·哈里斯
880,勇闯夺命岛,导演,迈克尔·贝
881,勇闯夺命岛,上映年份,1996年
882,岁月神偷,主演,李治廷
883,岁月神偷,主演,钟绍图
884,岁月神偷,主演,任达华
885,岁月神偷,主演,吴君如
886,岁月神偷,主演,秦沛
887,岁月神偷,导演,罗启锐
888,哈利·波特与死亡圣器,主演,丹尼尔·雷德克里夫
889,哈利·波特与死亡圣器,导演,大卫·叶慈
890,哈利·波特与死亡圣器,上映年份,2011年
891,哈利·波特与死亡圣器,上映年份,2010年
892,蝴蝶,主演,克劳迪奥·比加利
893,蝴蝶,主演,加拉泰亚·兰齐
894,蝴蝶,导演,维托里奥·塔维亚尼
895,蝴蝶,导演,保罗·塔维亚尼
896,一次别离,主演,萨蕾·巴亚特
897,一次别离,主演,蕾拉·哈塔米
898,一次别离,主演,佩曼·莫阿迪
899,一次别离,导演,阿斯哈·法哈蒂
900,一次别离,上映年份,2011年
901,侠盗联盟,主演,刘德华
902,侠盗联盟,主演,张静初
903,侠盗联盟,主演,让·雷诺
904,侠盗联盟,主演,舒淇
905,侠盗联盟,主演,杨祐宁
906,侠盗联盟,导演,冯德伦
907,侠盗联盟,上映年份,2017年
908,神偷奶爸,主演,朱莉·安德鲁斯
909,神偷奶爸,主演,杰森·赛格尔
910,神偷奶爸,主演,史蒂夫·卡瑞尔
911,神偷奶爸,主演,拉塞尔·布兰德
912,神偷奶爸,导演,皮埃尔·科芬
913,神偷奶爸,导演,克里斯·雷诺德
914,神偷奶爸,上映年份,2010年
915,碧海蓝天,主演,让-马克·巴尔
916,碧海蓝天,主演,让·雷诺
917,碧海蓝天,导演,吕克·贝松
918,碧海蓝天,上映年份,1988年
919,指环王：护戒使者,主演,维果·莫特森
920,指环王：护戒使者,主演,伊利亚·伍德
921,指环王：护戒使者,主演,伊安·麦克莱恩
922,指环王：护戒使者,主演,西恩·奥斯汀
923,指环王：护戒使者,主演,肖恩·宾
924,指环王：护戒使者,主演,奥兰多·布鲁姆
925,指环王：护戒使者,导演,彼得·杰克逊
926,指环王：护戒使者,上映年份,2001年
927,浪潮,主演,马克思·雷迈特
928,浪潮,主演,约根·沃格尔
929,浪潮,主演,弗雷德里克·劳
930,浪潮,导演,丹尼斯·甘塞尔
931,浪潮,上映年份,2008年
932,人工智能,主演,海利·乔·奥斯蒙特
933,人工智能,主演,裘德·洛
934,人工智能,导演,史蒂文·斯皮尔伯格
935,人工智能,上映年份,2001年
936,风之谷,导演,宫崎骏
937,风之谷,上映年份,1984年
938,剪刀手爱德华,主演,文森特·普莱斯
939,剪刀手爱德华,主演,约翰尼·德普
940,剪刀手爱德华,主演,黛安娜·维斯特
941,剪刀手爱德华,主演,薇诺娜·瑞德
942,剪刀手爱德华,导演,蒂姆·波顿
943,剪刀手爱德华,上映年份,1990年
944,一一,主演,金燕玲
945,一一,主演,吴念真
946,一一,主演,张洋洋
947,一一,主演,李凯莉
948,一一,导演,杨德昌
949,一一,上映年份,2009年
950,一一,上映年份,2000年
951,角斗士,主演,康妮·尼尔森
952,角斗士,主演,罗素·克劳
953,角斗士,主演,杰昆·菲尼克斯
954,角斗士,导演,雷德利·斯科特
955,角斗士,上映年份,2000年
956,未麻的部屋,主演,岩男润子
957,未麻的部屋,主演,辻亲八
958,未麻的部屋,主演,松本梨香
959,未麻的部屋,主演,大仓正章
960,未麻的部屋,导演,今敏
961,未麻的部屋,上映年份,1997年
962,泰坦尼克号,主演,莱昂纳多·迪卡普里奥
963,泰坦尼克号,主演,凯特·温斯莱特
964,泰坦尼克号,导演,詹姆斯·卡梅隆
965,泰坦尼克号,上映年份,1997年
966,追随,主演,eremy Theobald
967,追随,主演,Alex Haw
968,追随,主演,露西·拉塞尔
969,追随,导演,克里斯托弗·诺兰
970,追随,上映年份,1999年
971,大鱼,主演,伊万·麦克格雷格
972,大鱼,主演,杰西卡·兰格
973,大鱼,主演,阿尔伯特·芬尼
974,大鱼,导演,蒂姆·伯顿
975,大鱼,上映年份,2003年
976,少年派的奇幻漂流,主演,伊尔凡·可汗
977,少年派的奇幻漂流,主演,苏拉·沙玛
978,少年派的奇幻漂流,主演,拉菲·斯波
979,少年派的奇幻漂流,导演,李安
980,少年派的奇幻漂流,上映年份,2012年
981,窃听风暴,主演,马蒂娜·戈黛特
982,窃听风暴,主演,塞巴斯蒂安·考奇
983,窃听风暴,主演,乌尔里希·穆埃
984,窃听风暴,导演,弗洛里安·亨克尔·冯·多纳斯马尔克
985,窃听风暴,上映年份,2006年
986,美国往事,主演,伊丽莎白·麦戈文
987,美国往事,主演,塔斯黛·韦尔德
988,美国往事,主演,詹姆斯·伍兹
989,美国往事,主演,罗伯特·德尼罗
990,美国往事,导演,瑟吉欧·莱昂
991,美国往事,上映年份,1984年
992,东京物语,主演,笠智众
993,东京物语,主演,原节子
994,东京物语,导演,小津安二郎
995,东京物语,上映年份,1953年
996,低俗小说,主演,约翰·特拉沃尔塔
997,低俗小说,主演,布鲁斯·威利斯
998,低俗小说,主演,阿曼达·普拉莫
999,低俗小说,主演,蒂姆·罗斯
1000,低俗小说,主演,乌玛·瑟曼
1001,低俗小说,导演,昆汀·塔伦蒂诺
1002,低俗小说,上映年份,1994年
1003,花样年华,主演,梁朝伟
1004,花样年华,主演,张曼玉
1005,花样年华,导演,王家卫
1006,花样年华,上映年份,2000年
1007,惊魂记,主演,珍妮特·利
1008,惊魂记,主演,安东尼·博金斯
1009,惊魂记,导演,阿尔弗雷德·希区柯克
1010,惊魂记,上映年份,1960年
1011,两杆大烟枪,主演,杰森·斯坦森
1012,两杆大烟枪,主演,杰森·弗莱明
1013,两杆大烟枪,主演,尼克·莫兰
1014,两杆大烟枪,主演,德克斯特·弗莱彻
1015,两杆大烟枪,导演,盖伊·里奇
1016,两杆大烟枪,上映年份,1998年
1017,遗愿清单,主演,比弗莉·托德
1018,遗愿清单,主演,摩根·弗里曼
1019,遗愿清单,主演,杰克·尼科尔森
1020,遗愿清单,主演,西恩·海耶斯
1021,遗愿清单,导演,罗伯·莱纳
1022,遗愿清单,上映年份,2007年
1023,教父2,主演,黛安·基顿
1024,教父2,主演,罗伯特·杜瓦尔
1025,教父2,主演,阿尔·帕西诺
1026,教父2,主演,罗伯特·德尼罗
1027,教父2,导演,弗朗西斯·福特·科波拉
1028,教父2,上映年份,1974年
1029,疯狂的石头,主演,徐峥
1030,疯狂的石头,主演,黄渤
1031,疯狂的石头,主演,连晋
1032,疯狂的石头,主演,刘桦
1033,疯狂的石头,主演,郭涛
1034,疯狂的石头,主演,刘刚
1035,疯狂的石头,导演,宁浩
1036,疯狂的石头,上映年份,2006年
1037,阿飞正传,主演,张国荣
1038,阿飞正传,主演,张学友
1039,阿飞正传,主演,刘嘉玲
1040,阿飞正传,主演,张曼玉
1041,阿飞正传,主演,刘德华
1042,阿飞正传,导演,王家卫
1043,阿飞正传,上映年份,1990年
1044,可可西里,主演,多布杰
1045,可可西里,主演,奇道
1046,可可西里,主演,张垒
1047,可可西里,导演,陆川
1048,可可西里,上映年份,2004年
1049,小森林,主演,金泰梨
1050,小森林,主演,秦基周
1051,小森林,主演,柳俊烈
1052,小森林,主演,文素利
1053,小森林,导演,林顺礼
1054,小森林,上映年份,2018年
1055,熔炉,主演,金贤秀
1056,熔炉,主演,孔刘
1057,熔炉,主演,郑裕美
1058,熔炉,导演,黄东赫
1059,熔炉,上映年份,2011年
1060,爱在日落黄昏时,主演,伊桑·霍克
1061,爱在日落黄昏时,主演,朱莉·德尔佩
1062,爱在日落黄昏时,导演,理查德·林克莱特
1063,爱在日落黄昏时,上映年份,2004年
1064,喜剧之王,主演,周星驰
1065,喜剧之王,主演,张柏芝
1066,喜剧之王,主演,莫文蔚
1067,喜剧之王,导演,李力持
1068,喜剧之王,导演,周星驰
1069,喜剧之王,上映年份,1999年
1070,布达佩斯大饭店,主演,爱德华·诺顿
1071,布达佩斯大饭店,主演,蒂尔达·斯文顿
1072,布达佩斯大饭店,主演,裘德·洛
1073,布达佩斯大饭店,主演,马修·阿马立克
1074,布达佩斯大饭店,主演,西尔莎·罗南
1075,布达佩斯大饭店,主演,拉尔夫·费因斯
1076,布达佩斯大饭店,主演,汤姆·威尔金森
1077,布达佩斯大饭店,主演,哈威·凯特尔
1078,布达佩斯大饭店,主演,詹森·舒瓦兹曼
1079,布达佩斯大饭店,主演,欧文·威尔逊
1080,布达佩斯大饭店,主演,托尼·雷沃罗利
1081,布达佩斯大饭店,主演,阿德里安·布洛迪
1082,布达佩斯大饭店,主演,蕾雅·赛杜
1083,布达佩斯大饭店,导演,韦斯·安德森
1084,布达佩斯大饭店,上映年份,2014年
1085,拯救大兵瑞恩,主演,马特·达蒙
1086,拯救大兵瑞恩,主演,汤姆·汉克斯
1087,拯救大兵瑞恩,主演,汤姆·塞兹摩尔
1088,拯救大兵瑞恩,导演,史蒂文·斯皮尔伯格
1089,拯救大兵瑞恩,上映年份,1998年
1090,辩护人,主演,宋康昊
1091,辩护人,主演,郭道元
1092,辩护人,主演,金英爱
1093,辩护人,主演,吴达秀
1094,辩护人,导演,杨宇锡
1095,辩护人,上映年份,2013年
1096,爆裂鼓手,主演,迈尔斯·特勒
1097,爆裂鼓手,主演,J·K·西蒙斯
1098,爆裂鼓手,导演,达米恩·查泽雷
1099,爆裂鼓手,上映年份,2014年
1100,无耻混蛋,主演,黛安·克鲁格
1101,无耻混蛋,主演,克里斯托弗·瓦尔兹
1102,无耻混蛋,主演,迈克尔·法斯宾德
1103,无耻混蛋,主演,布拉德·皮特
1104,无耻混蛋,主演,梅拉尼·罗兰
1105,无耻混蛋,主演,伊莱·罗斯
1106,无耻混蛋,导演,昆汀·塔伦蒂诺
1107,无耻混蛋,导演,伊莱·罗斯
1108,无耻混蛋,上映年份,2009年
1109,枪火,主演,吕颂贤
1110,枪火,主演,吴镇宇
1111,枪火,主演,任达华
1112,枪火,主演,黄秋生
1113,枪火,导演,杜琪峰
1114,枪火,上映年份,1999年
1115,西西里的美丽传说,主演,圭塞佩·苏尔法罗
1116,西西里的美丽传说,主演,莫尼卡·贝鲁奇
1117,西西里的美丽传说,导演,朱塞佩·托纳多雷
1118,西西里的美丽传说,上映年份,2000年
1119,机器人总动员,主演,本·贝尔特
1120,机器人总动员,主演,杰夫·格尔林
1121,机器人总动员,主演,艾丽莎·奈特
1122,机器人总动员,导演,安德鲁·斯坦顿
1123,机器人总动员,上映年份,2008年
1124,上帝之城,主演,马修斯·纳克加勒
1125,上帝之城,主演,索·豪黑
1126,上帝之城,主演,艾莉丝·布拉加
1127,上帝之城,导演,费尔南多·梅里尔斯
1128,上帝之城,上映年份,2002年
1129,活着,主演,葛优
1130,活着,主演,巩俐
1131,活着,导演,张艺谋
1132,活着,上映年份,1994年
1133,冰川时代,导演,卡洛斯·沙尔丹哈
1134,冰川时代,导演,克里斯·韦奇
1135,冰川时代,上映年份,2002年
1136,飞屋环游记,导演,彼特·道格特
1137,飞屋环游记,上映年份,2009年
1138,与狼共舞,主演,傅程鹏
1139,与狼共舞,主演,侯梦莎
1140,与狼共舞,主演,夏侯镔
1141,与狼共舞,主演,程愫
1142,与狼共舞,主演,句号
1143,与狼共舞,导演,黄文利
1144,与狼共舞,上映年份,2012年
1145,萤火虫之墓,主演,白石绫乃
1146,萤火虫之墓,主演,辰巳努
1147,萤火虫之墓,导演,高畑勋
1148,绿里奇迹,主演,迈克·克拉克·邓肯
1149,绿里奇迹,主演,汤姆·汉克斯
1150,绿里奇迹,主演,大卫·摩斯
1151,绿里奇迹,导演,弗兰克·德拉邦特
1152,绿里奇迹,上映年份,1999年
1153,疯狂原始人,主演,瑞恩·雷诺兹
1154,疯狂原始人,主演,艾玛·斯通
1155,疯狂原始人,主演,尼古拉斯·凯奇
1156,疯狂原始人,主演,凯瑟琳·基纳
1157,疯狂原始人,导演,科克·德·米科
1158,疯狂原始人,导演,克里斯·桑德斯
1159,疯狂原始人,上映年份,2013年
1160,疯狂原始人,上映年份,2013年
1161,狮子王,导演,乔恩·费儒
1162,狮子王,上映年份,2019年
1163,7号房的礼物,主演,柳承龙
1164,7号房的礼物,主演,朴信惠
1165,7号房的礼物,主演,郑进永
1166,7号房的礼物,主演,葛素媛
1167,7号房的礼物,导演,李焕庆
1168,7号房的礼物,上映年份,2013年
1169,无敌破坏王,导演,里奇·摩尔
1170,无敌破坏王,上映年份,2012年
1171,饮食男女,主演,吴倩莲
1172,饮食男女,主演,郎雄
1173,饮食男女,主演,王渝文
1174,饮食男女,主演,杨贵媚
1175,饮食男女,导演,李安
1176,饮食男女,上映年份,1994年
1177,杀人回忆,主演,宋康昊
1178,杀人回忆,主演,朴海日
1179,杀人回忆,主演,金相庆
1180,杀人回忆,导演,奉俊昊
1181,杀人回忆,上映年份,2003年
1182,春光乍泄,主演,张国荣
1183,春光乍泄,主演,张震
1184,春光乍泄,主演,梁朝伟
1185,春光乍泄,导演,王家卫
1186,春光乍泄,上映年份,1997年
1187,速度与激情5,主演,卢达·克里斯
1188,速度与激情5,主演,保罗·沃克
1189,速度与激情5,主演,乔丹娜·布鲁斯特
1190,速度与激情5,主演,泰瑞斯·吉布森
1191,速度与激情5,主演,道恩·强森
1192,速度与激情5,主演,范·迪塞尔
1193,速度与激情5,主演,成康
1194,速度与激情5,主演,马特·斯查尔兹
1195,速度与激情5,导演,林诣彬
1196,速度与激情5,上映年份,2011年
1197,海盗电台,主演,菲利普·塞默·霍夫曼
1198,海盗电台,主演,比尔·奈伊
1199,海盗电台,导演,理查德·柯蒂斯
1200,海盗电台,上映年份,2009年
1201,十二怒汉,主演,李·科布
1202,十二怒汉,主演,马丁·鲍尔萨姆
1203,十二怒汉,主演,亨利·方达
1204,十二怒汉,导演,西德尼·吕美特
1205,十二怒汉,上映年份,1957年
1206,两小无猜,主演,吉约姆·卡内
1207,两小无猜,主演,玛丽昂·歌迪亚
1208,两小无猜,主演,吉尔·勒卢什
1209,两小无猜,导演,杨·塞谬尔
1210,两小无猜,上映年份,2003年
1211,战争之王,主演,伊恩·霍姆
1212,战争之王,主演,布丽姬·穆娜
1213,战争之王,主演,尼古拉斯·凯奇
1214,战争之王,主演,杰瑞德·莱托
1215,战争之王,导演,安德鲁·尼科尔
1216,战争之王,上映年份,2005年
1217,英雄本色,主演,张国荣
1218,英雄本色,主演,狄龙
1219,英雄本色,主演,周润发
1220,英雄本色,导演,吴宇森
1221,英雄本色,上映年份,1986年
1222,撞车,主演,唐·钱德尔
1223,撞车,主演,马特·狄龙
1224,撞车,主演,桑德拉·布洛克
1225,撞车,导演,保罗·哈吉斯
1226,撞车,上映年份,2004年
1227,燕尾蝶,主演,三上博史
1228,燕尾蝶,主演,恰拉
1229,燕尾蝶,主演,伊藤步
1230,燕尾蝶,导演,岩井俊二
1231,燕尾蝶,上映年份,1996年
1232,荒蛮故事,主演,达里奥·葛兰帝内提
1233,荒蛮故事,主演,艾丽卡·里瓦斯
1234,荒蛮故事,主演,里卡杜·达林
1235,荒蛮故事,导演,达米安·斯兹弗隆
1236,荒蛮故事,上映年份,2014年
1237,雨人,主演,汤姆·克鲁斯
1238,雨人,主演,迈克尔·D·罗伯茨
1239,雨人,主演,瓦莱莉·高利诺
1240,雨人,主演,邦尼·亨特
1241,雨人,主演,贝丝·格兰特
1242,雨人,主演,达斯汀·霍夫曼
1243,雨人,导演,巴瑞·莱文森
1244,雨人,上映年份,1988年
1245,阳光姐妹淘,主演,闵孝琳
1246,阳光姐妹淘,主演,沈恩敬
1247,阳光姐妹淘,主演,姜素拉
1248,阳光姐妹淘,导演,姜亨哲
1249,阳光姐妹淘,上映年份,2011年
1250,荒岛余生,主演,汤姆·汉克斯
1251,荒岛余生,主演,海伦·亨特
1252,荒岛余生,导演,罗伯特·泽米吉斯
1253,荒岛余生,上映年份,2000年
1254,教父3,主演,黛安·基顿
1255,教父3,主演,阿尔·帕西诺
1256,教父3,主演,安迪·加西亚
1257,教父3,导演,弗朗西斯·福特·科波拉
1258,教父3,上映年份,1990年
1259,罗生门,主演,三船敏郎
1260,罗生门,主演,志村乔
1261,罗生门,主演,森雅之
1262,罗生门,主演,京町子
1263,罗生门,导演,黑泽明
1264,罗生门,上映年份,1950年
1265,不一样的天空,主演,莱昂纳多·迪卡普里奥
1266,不一样的天空,主演,约翰尼·德普
1267,不一样的天空,导演,莱塞·霍尔斯道姆
1268,不一样的天空,上映年份,1993年
1269,海豚湾,主演,里克·奥巴瑞
1270,海豚湾,导演,路易·西霍尤斯
1271,海豚湾,上映年份,2009年
1272,真爱至上,主演,休·格兰特
1273,真爱至上,主演,艾玛·汤普森
1274,真爱至上,主演,比尔·奈伊
1275,真爱至上,主演,安德鲁·林肯
1276,真爱至上,主演,凯拉奈特莉
1277,真爱至上,主演,科林·费斯
1278,真爱至上,主演,艾伦·里克曼
1279,真爱至上,主演,连姆·尼森
1280,真爱至上,导演,理查德·柯蒂斯
1281,真爱至上,上映年份,2003年
1282,偷拐抢骗,主演,玛伦·阿德
1283,偷拐抢骗,主演,本尼西奥·德尔·托罗
1284,偷拐抢骗,主演,布拉德·皮特
1285,偷拐抢骗,主演,杰森·斯坦森
1286,偷拐抢骗,导演,盖·里奇
1287,偷拐抢骗,上映年份,2000年
1288,卡萨布兰卡,主演,保罗·亨雷德
1289,卡萨布兰卡,主演,英格丽·褒曼
1290,卡萨布兰卡,主演,亨弗莱·鲍嘉
1291,卡萨布兰卡,主演,克劳德·雷恩斯
1292,卡萨布兰卡,导演,迈克尔·柯蒂兹
1293,卡萨布兰卡,上映年份,1942年
1294,猫鼠游戏,主演,莱昂纳多·迪卡普里奥
1295,猫鼠游戏,主演,汤姆·汉克斯
1296,猫鼠游戏,导演,斯蒂文·斯皮尔伯格
1297,猫鼠游戏,上映年份,2002年
1298,红辣椒,主演,林原惠美
1299,红辣椒,主演,古谷彻
1300,红辣椒,主演,江守彻
1301,红辣椒,导演,今敏
1302,红辣椒,上映年份,2006年
1303,月球,主演,山姆·洛克威尔
1304,月球,主演,罗宾·查克
1305,月球,导演,邓肯·琼斯
1306,告白,主演,松隆子
1307,告白,导演,中岛哲也
1308,告白,上映年份,2010年
1309,廊桥遗梦,主演,梅丽尔·斯特里普
1310,廊桥遗梦,主演,克林特·伊斯特伍德
1311,廊桥遗梦,导演,克林特·伊斯特伍德
1312,廊桥遗梦,上映年份,1995年
1313,末路狂花,主演,苏珊·萨兰登
1314,末路狂花,主演,吉娜·戴维斯
1315,末路狂花,导演,雷德利·斯科特
1316,末路狂花,上映年份,1991年
1317,玩具总动员3,主演,蒂姆·艾伦
1318,玩具总动员3,主演,汤姆·汉克斯
1319,玩具总动员3,导演,李·昂克里奇
1320,玩具总动员3,上映年份,2010年
1321,沉默的羔羊,主演,安东尼·霍普金斯
1322,沉默的羔羊,主演,朱迪·福斯特
1323,沉默的羔羊,导演,乔纳森·戴米
1324,沉默的羔羊,上映年份,1991年
1325,青蛇,主演,赵文卓
1326,青蛇,主演,吴兴国
1327,青蛇,主演,王祖贤
1328,青蛇,主演,张曼玉
1329,青蛇,导演,徐克
1330,青蛇,上映年份,1993年
1331,超能陆战队,主演,斯科特·埃德希特
1332,超能陆战队,主演,瑞恩·波特
1333,超能陆战队,主演,T·J·米勒
1334,超能陆战队,导演,克里斯·威廉姆斯
1335,超能陆战队,导演,唐·霍尔
1336,超能陆战队,上映年份,2014年
1337,谍影重重3,主演,朱丽娅·斯蒂尔斯
1338,谍影重重3,主演,马特·达蒙
1339,谍影重重3,主演,帕迪·康斯戴恩
1340,谍影重重3,导演,保罗·格林格拉斯
1341,谍影重重3,上映年份,2007年
1342,穆赫兰道,主演,贾斯汀·塞洛克斯
1343,穆赫兰道,主演,劳拉·哈灵
1344,穆赫兰道,主演,娜奥米·沃茨
1345,穆赫兰道,导演,大卫·林奇
1346,穆赫兰道,上映年份,2001年
1347,当幸福来敲门,主演,桑迪·牛顿
1348,当幸福来敲门,主演,贾登·史密斯
1349,当幸福来敲门,主演,威尔·史密斯
1350,当幸福来敲门,导演,加布里尔·穆奇诺
1351,当幸福来敲门,上映年份,2020年
1352,盗梦空间,主演,莱昂纳多·迪卡普里奥
1353,盗梦空间,主演,玛丽昂·歌迪亚
1354,盗梦空间,导演,克里斯托弗·诺兰
1355,盗梦空间,上映年份,2020年
1356,哈尔的移动城堡,主演,倍赏千惠子
1357,哈尔的移动城堡,主演,美轮明宏
1358,哈尔的移动城堡,主演,我修院达也
1359,哈尔的移动城堡,主演,木村拓哉
1360,哈尔的移动城堡,导演,宫崎骏
1361,哈尔的移动城堡,上映年份,2004年
1362,灵异第六感,主演,海利·乔·奥斯蒙
1363,灵异第六感,主演,托妮·科莱特
1364,灵异第六感,主演,布鲁斯·威利斯
1365,灵异第六感,导演,M·奈特·沙马兰
1366,灵异第六感,上映年份,1999年
1367,玛丽和马克思,主演,艾瑞克·巴纳
1368,玛丽和马克思,主演,菲利普·塞默·霍夫曼
1369,玛丽和马克思,主演,托妮·科莱特
1370,玛丽和马克思,导演,亚当·艾略特
1371,玛丽和马克思,上映年份,2009年
1372,断背山,主演,希斯·莱杰
1373,断背山,主演,琳达·卡德里尼
1374,断背山,主演,杰克·吉伦哈尔
1375,断背山,主演,安娜·法瑞丝
1376,断背山,主演,安妮·海瑟薇
1377,断背山,主演,米歇尔·威廉姆斯
1378,断背山,导演,李安
1379,断背山,上映年份,2005年
1380,我爱你,主演,李顺载
1381,我爱你,主演,宋智孝
1382,我爱你,主演,宋在浩
1383,我爱你,主演,李文植
1384,我爱你,主演,尹秀晶
1385,我爱你,主演,吴达秀
1386,我爱你,主演,金秀美
1387,我爱你,导演,秋昌民
1388,我爱你,上映年份,2011年
1389,东邪西毒,主演,梁家辉
1390,东邪西毒,主演,张曼玉
1391,东邪西毒,主演,张学友
1392,东邪西毒,主演,杨采妮
1393,东邪西毒,主演,张国荣
1394,东邪西毒,主演,梁朝伟
1395,东邪西毒,主演,林青霞
1396,东邪西毒,主演,刘嘉玲
1397,东邪西毒,导演,王家卫
1398,东邪西毒,上映年份,1994年
1399,虎口脱险,主演,路易·德·菲耐斯
1400,虎口脱险,主演,安德烈·布尔维尔
1401,虎口脱险,导演,杰拉尔·乌里
1402,虎口脱险,上映年份,1966年
1403,大话西游之月光宝盒,主演,莫文蔚
1404,大话西游之月光宝盒,主演,吴孟达
1405,大话西游之月光宝盒,主演,蓝洁瑛
1406,大话西游之月光宝盒,主演,周星驰
1407,大话西游之月光宝盒,导演,刘镇伟
1408,大话西游之月光宝盒,上映年份,1995年
1409,鬼子来了,主演,香川照之
1410,鬼子来了,主演,姜宏波
1411,鬼子来了,主演,姜文
1412,鬼子来了,导演,姜文
1413,鬼子来了,上映年份,2000年
1414,甜蜜蜜,主演,曾志伟
1415,甜蜜蜜,主演,黎明
1416,甜蜜蜜,主演,张曼玉
1417,甜蜜蜜,主演,杨恭如
1418,甜蜜蜜,导演,陈可辛
1419,甜蜜蜜,上映年份,1996年
1420,大卫·戈尔的一生,主演,凯文·史派西
1421,大卫·戈尔的一生,主演,凯特·温斯莱特
1422,大卫·戈尔的一生,导演,艾伦·帕克
1423,大卫·戈尔的一生,上映年份,2003年
1424,牯岭街少年杀人事件,主演,杨静怡
1425,牯岭街少年杀人事件,主演,张震
1426,牯岭街少年杀人事件,主演,金燕玲
1427,牯岭街少年杀人事件,主演,张国柱
1428,牯岭街少年杀人事件,导演,杨德昌
1429,牯岭街少年杀人事件,上映年份,1991年
1430,天堂的孩子,主演,Amir Farrokh Hashemian
1431,天堂的孩子,主演,Bahare Seddiqi
1432,天堂的孩子,导演,马基德·马基迪
1433,猜火车,主演,伊万·麦克格雷格
